"Location","Pointers","Byte Count","String Value","New String Value"
"a8278","12119C","74","@s@n@c00　　　　　　　プログラムブース@n　　　　　　　推奨レベル　４以上@p","@s@n@c00 - Programming Room -@n   Recommended Level: 4+@p"
"a82c4","1211AC","36","@s@n@c00　　　　　　　　　　喫○室@p","@s@n@c00 - Lounge -@p"
"a82ec","1211BC","74","@s@n@c00　　　　　　　　デザインブース@n　　　　　　　推奨レベル　５以上@p","@s@n@c00 - Design Booth -@n   Recommended Level: 5+@p"
"a8338","1211CC","36","@s@n@c00　　　　　　　　　　資料室@p","@s@n@c00 - Archives -@p"
"a8360","1211DC","38","@s@n@c00　　　　　　　　フラグの花園@p","@s@n@c00 - Flag Garden -@p"
"a8388","1211EC|1211FC","46","@s@n@c00　　　　ここから先、推奨レベル２以上@p","@s@n@c00Level 2+ recommended past@nthis point@p"
"a83b8","12120C","50","@s@c05@n　　　そっちに金のフラグ種はありません。@p","@s@c05@nNo Gold Flag Seed over there.@p"
"a83ec","12121C","50","@s@c00@n　　この部屋に、金のフラグ種があります。@p","@s@c00@nNo Gold Flag Seed in this room.@p"
"a8420","12123C|12124C|12125C","70","@s@n@c00　　　　　　　　Ｂ研のＹ字路@n　　　　　　　推奨レベル８以上@p","@s@n@c00 - B-Lab Hub -@n   Recommended Level: 8+@p"
"a8468","12126C|12127C|12128C","36","@s@n@c00　　　　　　　　　エビ広場@p","@s@n@c00 - Lobster Plaza -@p"
"a8490","12129C","44","@s@n@c00　　　　　　月組エントランスルーム@p","@s@n@c00 - Moon Division Entrance -@p"
"a84c0","1212AC|1212BC","66","@s@n@c00　　　　　　　　　　月組@n　　　　　　　推奨レベル９以上@p","@s@n@c00 - Moon Division -@n   Recommended Level: 9+@p"
"a8504","1212CC","40","@s@n@c00　　　　　　　　月組リーダー室@p","@s@n@c00 - Moon Division -@n   Leader's Office@p"
"a8530","1212DC","76","@s@n@c00　　　　　　月組―デザインブース@n　　　　　　　推奨レベル１０以上@p","@s@n@c00 - Moon Division Design Room -@n   Recommended Level: 10+@p"
"a8580","1212EC","44","@s@n@c00　　　　　　星組エントランスルーム@p","@s@n@c00 - Star Division Entrance -@p"
"a85b0","1212FC|12130C","68","@s@n@c00　　　　　　　　　　星組@n　　　　　　　推奨レベル１１以上@p","@s@n@c00 - Star Division -@n   Recommended Level: 11+@p"
"a85f8","12131C","38","@s@n@c00　　　　　　　　　星組―独房@p","@s@n@c00 - Star Division Solitary -@n   Confinement@p"
"a8620","12132C","74","@s@n@c00　　　　　　　星組―サーバー室@n　　　　　　　推奨レベル１２以上@p","@s@n@c00 - Star Division Server Room -@n   Recommended Level: 12+@p"
"a866c","12133C","76","@s@n@c00　　　　　　この先、星組リーダー室@n　　　　　　推奨レベル１３以上@p","@s@c00 - Star Division -@n   Leader's Office@n@n   Recommended Level: 13+@p"
"a86bc","12134C","78","@s@n@c00　　　　　　花組エントランスホール@n　　　　　　　推奨レベル１６以上@p","@s@n@c00 - Flower Division Entrance -@n   Recommended Level: 16+@p"
"a870c","12135C","78","@s@n@c00　　　　　　　花組―道場入り口@n　　　　　この先、推奨レベル１６以上@p","@s@c00 - Flower Division -@n   Dojo Entrance@n   Recommended Level: 16+@p"
"a875c","12136C","38","@s@n@c00　　　　　　　　　Ｂ研会議室@p","@s@n@c00 - B-Lab Conference Room -@p"
"a8784","12137C","38","@s@n@c00　　　　　　　　花組―班長室@p","@s@n@c00 - Flower Division  -@n   Leader's Office@p"
"a87ac","12138C","38","@s@n@c00　　　　　　　　花組―反省室@p","@s@n@c00 - Flower Division -@n   Meditation Room@p"
"a87d4","1213AC|1213BC","70","@s@n@c00　　　　　　　Ｃ研　貧民層@n　　　　　　　推奨レベル２１以上@p","@s@n@c00 - C-Lab, Poor Class -@n   Recommended Level: 21+@p"
"a881c","1213DC","70","@s@n@c00　　　　　　　Ｃ研　平民層@n　　　　　　　推奨レベル２３以上@p","@s@n@c00 - C-Lab, Commoner Class -@n   Recommended Level: 23+@p"
"a8864","1213FC","70","@s@n@c00　　　　　　　Ｃ研　富豪層@n　　　　　　　推奨レベル２９以上@p","@s@n@c00 - C-Lab, Elite Class -@n   Recommended Level: 29+@p"
"a88ac","12141C","72","@s@n@c00　　　　　　　　ボスラッシュ@n　　　　　　　推奨レベル６０以上@p","@s@n@c00 - Boss Rush -@n   Recommended Level: 60+@p"
"a8d90","3E48","30","@e@c05萌え萌えの効果が切れた@p","@e@c05Moe Moe effect has worn off.@p"
"a8db4","","2","%d",""
"a8dbc","","3","%2d",""
"a8dc0","","10","A_LOSE.EFC",""
"a8dcc","","6","EFFECT",""
"a8dd4","","12","A_WINNER.EFC",""
"a8de4","","9","A_DMG.EFC",""
"a8df0","","9","H_DMG.EFC",""
"a8dfc","","12","A_HATT_A.EFC",""
"a8e0c","","12","A_HATT_B.EFC",""
"a8e1c","","12","A_HATT_C.EFC",""
"a8e2c","","12","A_HATT_D.EFC",""
"a8e3c","","12","A_HATT_E.EFC",""
"a8e4c","","10","A_ITEM.EFC",""
"a8e58","","10","A_SETT.EFC",""
"a8e64","","4","@c00",""
"a8e6c","","2","@p",""
"a8e70","","2","@k",""
"a8e74","","2","@e",""
"a8e78","54D4|56EC","34","@c05社長にハッタリは通用しない！@p","@c05The president won't fall for@nbluffing!@p"
"a8e9c","54DC","64","@c05エビ２号は@n熱い話に慣れている！@k@n熱い話が効かなかった！@p","@c05Lobster 2 is used to passionate@nspeeches!@n@kIt had no effect!@p"
"a8ee0","55C0","58","@c05クールは熱い話を聞き流す！@k@n熱い話が効かなかった！@p","@c05Cool ignores passionate@nspeeches!@k@nHot Topic had no effect!@p"
"a8f1c","55C4","60","@c05クールは寒い話に関心が無い！@k@n寒い話が効かなかった！@p","@c05Cool has no interest in dull@nstories!@k@nChilling Tale had no effect!@p"
"a8f5c","55C8","30","@c05%sの@n攻撃力が下がった！@p","@c05%'s@nattack power down!@p"
"a8f7c","55CC","72","@c05クールは人の話を@n聞かないようだ！@k@n衝撃的な意見が効かなかった！@p","@c05Cool doesn't listen to others!@k@nShocking Opinion had no effect!@p"
"a8fc8","55D0","74","@c05Ｃマンのすさんだ心には@n通用しない！@k@n衝撃的な意見が効かなかった！@p","@c05C-Man's jaded heart is@nunaffected!@k@nShocking Opinion had no effect!"
"a9014","55DC","70","@c05エビ２号のクロックアップが@n成功した！@k@n処理落ちをはねのけた！@p","@c05Lobster 2 successfully@noverclocked!@k@nIt overcame the lag!@p"
"a905c","55D4","30","@c05%sの動きを@n封じ込めた！@p","@c05%'s@nmovements were sealed!@p"
"a907c","55E0","78","@c05@c05クールは多少の処理オチを@n問題にしない！！@k@n処理落ちをはねのけた！@p","@c05@c05Cool isn't bothered by a little@nlag!@k@nHe overcame the lag!!@p"
"a90cc","58C8","66","@c05恐縮ですが、@nそのキャラは・・・@n取れないような気がします。@p","@c05I hate to say it, but...I don't@nthink we can get that character.@p"
"a9110","57E0","34","@c05おこづかいに@n１６円プラス！@p","@c05Pocket change@n+16\!@p"
"a9134","57E4","36","@c05おこづかいに@n１６０円プラス！@p","@c05Pocket change@n+160\!@p"
"a915c","57E8","38","@c05おこづかいに@n１６００円プラス！@p","@c05Pocket change@n+1600\!@p"
"a9184","57EC","64","@c05カオリンは美少女に興味が無い！@k@n萌え萌えが効かなかった！@p","@c05Kaorin's not interested in@nbeautiful girls!@k@nMoe Moe had no effect!@p"
"a91c8","57F4","52","@c05萌え足りないのか？@k@n萌え萌えが効かなかった！@p","@c05Not enough moe?@k@nMoe Moe didn't work!@p"
"a9200","57FC","46","@c05%sは@n骨抜きにされて@n防御力が下がった！@p","@c05%s was@nweakened!@nDefense decreased!@p"
"a9230","58CC","18","@c05つかみ損ねた@p","@c05Failed to grab@p"
"a9244","58D4","40","@c05%sの@n守備力と素早さがアップした！@p","@c05%s's defense@nand speed increased!@p"
"a9270","58D8","80","@c05人工生命Ｅは叩かれても@nへこたれていない！@k@nＳＴＡＧＥ４が効かなかった！@p","@c05Artificial Lifeform E is hit,@nbut it's not discouraged!@k@nSTAGE 4 had no effect!@p"
"a92c4","58DC","96","@c05博士はドグマ技術の粋を集めて@n衝撃を吸収した！！@k@nＦＩＲＥ！ＦＩＲＥ！@nが効かなかった！@p","@c05The doctor used the finest Dogma@ntechnology and absorbed@nthe shock!!@k@nFIRE! FIRE! didn't work!@p"
"a9328","5B50","22","@c05%sは@n逃げ出した@p","@c05%s@nran away@p"
"a9340","5D70|63A4|6CC0","3","@w0",""
"a9344","5D90","18","@e@c05連れ去った@p","@e@c05Abducted!@p"
"a9358","","3","@w4",""
"a935c","6610","14","@c00・・・・@p","@c00. . . .@p"
"a936c","6614","18","@c00・・・・・・@p","@c00. . . . . .@p"
"a9380","6618","22","@c00・・・・・・・・@p","@c00. . . . . . . .@p"
"a9398","661C","38","@c00・・・・・・・・・・・・・・・・@p","@c00. . . . . . . . . . . . . . . .@p"
"a93c0","6620","38","@c12所詮人の力とはこの程度のものか！@p","@c12Is this all that the power of@nhumans amounts to?!@p"
"a93e8","6650","34","@e@c02使えるハッタリがありません@p","@e@c02No bluffs available!@p"
"a940c","6664","28","@e@c02アイテムがありません@p","@e@c02No items available!@p"
"a942c","6B2C","42","@c00基礎研究室がいっぱいなので@n諦めた。@p","@c00The Research Lab is full,@nso I gave up.@p"
"a9458","6C90","50","@c00基礎研究室がいっぱいなので@n交渉は見送った。@p","@c00The Research Lab is full,@nso I stopped negotiations.@p"
"a948c","","5","@w1@e",""
"a9494","","11","_ENEMY1.MRG",""
"a94a0","","4","DATA",""
"a94b4","","11","_BATTLE.MRG",""
"a94c0","","12","_BTLBACK.MRG",""
"a94d0","","10","_ENEMY.MRG",""
"a94dc","7C0C","140","@c13@v0372見ろ！@pこのマシンはあらゆる人間に@n思い通りの世界を@n味あわせることができる。@pそしてあらゆる人間が@n私の支配下となるのだ。@p@v-1","@c13@v0372Behold!@pThis machine will let each and@nevery human savor the world of@ntheir dreams!@pAnd every human will be under@nmy control!@p@v-1"
"a956c","7C94","20","くらえ！処理オチ！！","Take this! Processing Crash!!"
"a95a0","8878","8","特技：%s","SP: %s"
"a95ac","8994","2","%s","%s"
"a95b0","","12","%s@n%d円@n%s","%s@n%d\@n%s"
"a95c0","8E5C","12","@c00@e%sは@n","@c00@e%s's@n"
"a95d0","8E64","22","@c05%s@c00をくれた。@p","@c05%s@c00@nwas given to you.@p"
"a95e8","9278","28","@nおこづかいが%d円増えた！@k","@nPocket change up %d\!@k"
"a9608","","44","@n@c05大きなくまが取れるようになった！@c00@k",""
"a9638","121430","34","@c14%s@n%s@c00@nがあらわれた！！@p","@c14%s@n%s@c00@nhas appeared!!@p"
"a965c","121434","34","@c15%s@n%s@c00@nがあらわれた！！@p","@c15%s@n%s@c00@nhas appeared!!@p"
"a9680","121438","34","@c16%s@n%s@c00@nがあらわれた！！@p","@c16%s@n%s@c00@nhas appeared!!@p"
"a96a4","12143C","34","@c17%s@n%s@c00@nがあらわれた！！@p","@c17%s@n%s@c00@nhas appeared!!@p"
"a96c8","121440","18","@s@c05%sの言葉！@p","@s@c05%swords!@p"
"a96dc","121444","20","@s@c05相手の言葉！@p","@s@c05taunts!@p"
"a96f4","121448","42","@c05%sは@nこの場を立ち去ろうとした・・・@p","@c05%s@ntried to leave...@p"
"a9720","12144C","22","@c05%sは@n%sを使った@p","@c05%s@nused %s@p"
"a9738","121450","18","@e@c05言い負けた@p","@e@c05Lost the argument!@p"
"a974c","121454","18","@e@c05説き伏せた@p","@e@c05Convinced!@p"
"a9760","121458","20","@e@c05夢が足りない@p","@e@c05Not enough dreams!@p"
"a9778","12145C","36","@c14%s@n%s@c00@nと交渉を開始します@p","@c14%s@n%s@c00@nbegan negotiations...@p"
"a97a0","121460","36","@c15%s@n%s@c00@nと交渉を開始します@p","@c15%s@n%s@c00@nbegan negotiations...@p"
"a97c8","121464","36","@c16%s@n%s@c00@nと交渉を開始します@p","@c16%s@n%s@c00@nbegan negotiations...@p"
"a97f0","121468","36","@c17%s@n%s@c00@nと交渉を開始します@p","@c17%s@n%s@c00@nbegan negotiations...@p"
"a9818","12146C","40","@c05ディレクターになれる素質があります@p","@c05They've got what it takes to@nbe a Director!@p"
"a9844","121470","44","@c00僕は何も知らない@nだからこそがんばれる！","@c00I don't know anything!@nThat's why I can do my best!"
"a9874","121474","28","@c00あなたなんか知りません！","@c00I don't know the first thing@nabout you!"
"a9894","121478","22","@c00僕はあきらめない！","@c00I won't give up!"
"a98ac","12147C","42","@c00誰だって@n面白いゲームが好きなはずだ！","@c00Everyone should love great@ngames!"
"a98d8","121480","34","@c00ゲームの面白さは沢山あるはず！","@c00There should be lots of fun@nthings in a game!"
"a98fc","121484","30","@c00まだ業界は死んじゃいない！","@c00The industry's not dead yet!"
"a991c","121488","28","@c00口先だけならなんとでも！","@c00You can say anything if you@ndon't have to follow through!"
"a993c","12148C","34","@c00僕だって、遊び気分じゃいない！","@c00Even I'm not in the mood to@nplay!"
"a9960","121490","34","@c00ゲームを作るのに年は関係無い！","@c00Age is irrelevant when making@ngames!"
"a9984","121494","34","@c00１０人ぐらいでゲームは作れる！","@c00Ten people is enough to make a@ngame!"
"a99a8","121498","42","@c00音楽聴きながら@n仕事していいんですか？","@c00Can I listen to music while I@nwork?"
"a99d4","12149C","46","@c00過去のキャリアが@nなんだっていうんですか！","@c00Why does past experience even@nmatter?"
"a9a04","1214A0","46","@c00時間にルーズな人が多いって@nほんとですか？","@c00Is is true most developers are@nlate all the time?"
"a9a34","1214A4","46","@c00僕らのゲームを@n待っている人だっています！","@c00People say they're looking@nforward to our game!"
"a9a64","1214A8","44","@c00雑誌の採点基準なんて@nアテになりません！","@c00You can't trust magazine@nreviews!"
"a9a94","1214AC","46","@c00ゲームの面白さは@nユーザーが決めるんです！","@c00The players decide if@na game is fun!"
"a9ac4","1214B0","44","@c00徹夜仕事を自慢気に話す人が@n多いですね。","@c00Lots of people brag about@nworking all night, huh?"
"a9af4","1214B4","44","@c00言われた通りに作っていて@n楽しいですか！","@c00Do you enjoy doing things@nexactly as you're told?!"
"a9b24","1214B8","34","@c00一日中部屋に閉じこもりですね。","@c00Don't you spend all day inside?"
"a9b48","1214BC","48","@c00机の上のヌイグルミは@n気にならないんですか？","@c00Aren't you embarrassed to have@nplushies on your desk?"
"a9b7c","1214C0","50","@c00みなさん、キャラクターグッズが@n好きですよね。","@c00Everyone here sure loves@ncharacter merch."
"a9bb0","1214C4","48","@c00マニアとかオタクという言葉が@n勲章ですよね。","@c00Maniac and otaku are like badges@nof honor, huh?"
"a9be4","1214C8","48","@c00ダンボールと新聞紙は@nどっちが暖かいですか？","@c00Which is warmer, cardboard or@nnewspaper?"
"a9c18","1214CC","44","@c00クリエイターを気取っているだけ@nですね。","@c00You're just pretending to be a@ndeveloper."
"a9c48","1214D0","42","@c00業界人って常識が無いって@n聞きました。","@c00I heard industry people have no@ncommon sense."
"a9c74","1214D4","32","@c00ゲームは子供がする遊びです。","@c00Games are made for children."
"a9c98","1214D8","32","@c00誰でも希望を持っていいはず！","@c00Everyone's allowed to have hope!"
"a9cbc","1214DC","30","@c00素人の意見も聞きましょう！","@c00Let's listen to amateurs'@nopinions, too!"
"a9cdc","1214E0","32","@c00ちゃんと話を聞いてください！","@c00Please listen to me!"
"a9d00","1214E4","54","@c00「やっとくやっとく」とか言って@nいつやるんですか！","@c00You say stuff like ""Leave it to@nme,"" but when are you gonna get@nto work?!"
"a9d38","1214E8","34","@c00体力の衰えをカバーしましょう。","@c00Work smarter in your old age."
"a9d5c","1214EC","38","@c00嫌いな人ばかりじゃ@nないでしょう！","@c00Not everyone around you is@nawful, right?"
"a9d84","1214F0","46","@c00実力を棚にあげてモノのせいに@nしてますね。","@c00Aren't you just shifting the@nblame instead of living up to@nyour potential?"
"a9db4","1214F4","48","@c00人のいいなりになってゲームを@n作ってますね。","@c00So you're a yes-man just making@ngames how others tell you to?"
"a9de8","1214F8","34","@c00ゲームにだって未来はあるはず！","@c00Even games should have a future!"
"a9e0c","1214FC","30","@c00何を怖がっているんですか？","@c00What are you so afraid of?"
"a9e2c","121500","28","@c00上を向いて歩きましょう！","@c00Chin up!"
"a9e4c","121504","30","@c00何の楽しみもなさそうです。","@c00You're no fun at all."
"a9e6c","121508","26","@c00遅刻ばかりしてますね。","@c00You're always late."
"a9e88","12150C","28","@c00ニヤつかないでください！","@c00Wipe that smirk off your face!"
"a9ea8","121510","30","@c00誰でもできそうな仕事です。","@c00Seems like anyone could do this@njob."
"a9ec8","121514","24","@c00使い回していますね。","@c00Isn't this just blatant asset@nreuse?"
"a9ee4","121518","32","@c00電話に出ない人が多いですね。","@c00So nobody here knows how to@nanswer a phone?"
"a9f08","12151C","24","@c00人が苦手なんですね。","@c00Not a people person, huh?"
"a9f24","121520","22","@c00人見知りしますね。","@c00You're pretty shy, aren't you?"
"a9f3c","121524","32","@c00日本語をしゃべりましょうよ。","@c00Try speaking Japanese, please."
"a9f60","121528","34","@c00子供相手にムキになってますね。","@c00You're getting riled up over a@nkid?"
"a9f84","12152C","30","@c00連絡ぐらいいれましょうよ。","@c00Let's at least get in touch."
"a9fa4","121530","26","@c00人の話を聞きましょう。","@c00Listen when people talk to you."
"a9fc0","121534","32","@c00誰の言葉を聞けばいいですか？","@c00Who should I even listen to?"
"a9fe4","121538","42","@c00よくわかんないけど@n良心がいたみます。","@c00I'm not really sure why, but...@nI feel guilty."
"aa010","12153C","24","@c00開きなおりましたね！","@c00Oh, so you're owning up to it@nnow?"
"aa02c","121540","28","@c00僕を惑わそうとしてるな！","@c00Don't try to confuse me!"
"aa04c","121544","14","@c00悪霊退散！","@c00Begone, evil spirit!"
"aa05c","121548","32","@c00変なことすると人を呼びます！","@c00Try anything funny and I'll call@nfor help!"
"aa080","12154C","28","@c00誰も信じられないのか！？","@c00Don't you trust anyone!?"
"aa0a0","121550","32","@c00楽な方法を選ぶべきじゃない！","@c00Don't take the easy way out!"
"aa0c4","121554","28","@c00僕にはこれしか無いんだ！","@c00This is all I've got!"
"aa0e4","121558","26","@c00噂話なんか信じないぞ！","@c00Don't believe everything you@nhear!"
"aa100","12155C","20","@c00ク、クレイジー…","@c00C-Crazy..."
"aa118","121560","24","@c00本当に人間ですか！？","@c00Are you even human!?"
"aa134","121564","28","@c00夢も希望もないんですか？","@c00Have you no hopes or dreams?"
"aa154","121568","10","@c00マジ？","@c00Seriously?"
"aa160","12156C","32","@c00人の気持ちも理解しましょう。","@c00Try to understand how others@nfeel, too."
"aa184","121570","14","@c00逃げるな！","@c00Don't run away!"
"aa194","121574","28","@c00終電より泊り込みですか？","@c00Are you staying in the office@ntonight? You're gonna miss the@nlast train."
"aa1b4","121578","34","@c00ジャンクフードばっかりですね。","@c00You eat nothing but junk food."
"aa1d8","12157C","44","@c00給料を一体何に@nつぎこんでいるんですか？","@c00Where the hell is your salary@ngoing?"
"aa208","121580","30","@c00スーツ持ってないんですか？","@c00Do you not own a suit?"
"aa228","121584","28","@c00サンダルばきはどうかと…","@c00Wearing sandals in the@noffice...?"
"aa248","121588","34","@c00そんなに限定品が好きですか！？","@c00Do you love limited-edition@nitems that much!?"
"aa26c","12158C","22","@c00土日も出勤ですか？","@c00Do you work weekends too?"
"aa284","121590","22","@c00毎日、終電ですか？","@c00Do you take the last train home@nevery day?"
"aa29c","121594","12","@c00分社化…","@c00Corporatization..."
"aa2ac","121598","26","@c00ＣＭは深夜だけですね。","@c00Don't your commercials only air@nlate at night?"
"aa2c8","12159C","34","@c00入館許可証忘れちゃだめですよ。","@c00Don't forget your entry pass."
"aa2ec","1215A0","30","@c00責任を取ろうとしませんね。","@c00You can't take responsibility,@ncan you?"
"aa30c","1215A4","30","@c00言うだけならタダですよね。","@c00Talk is cheap, right?"
"aa32c","1215A8","50","@c00何もしてないのに@n仕事をした気になってますね。","@c00Despite doing nothing,@nyou feel accomplished, huh?"
"aa360","1215AC","46","@c00自分のことしか@n考えてないようにみえます！","@c00You only think about yourself!"
"aa390","1215B0","24","@c00勘違いしていますね。","@c00You misunderstand."
"aa3ac","1215B4","40","@c00根拠の無い自信だけは@nスゴイですね。","@c00Your unwarranted confidence is@nimpressive."
"aa3d8","1215B8","32","@c00親しき仲にも礼儀が必要です！","@c00Even close friends should have@nmanners!"
"aa3fc","1215BC","20","@c00失礼な人が多い！","@c00Everyone's so unprofessional@nhere!"
"aa414","1215C0","24","@c00みんなタメ口ですね。","@c00Everyone's so vulgar!"
"aa430","1215C4","30","@c00失礼だと思わないんですか！","@c00Don't you think that's rude?"
"aa450","1215C8","26","@c00何もできないくせに…。","@c00And yet, you can't do@nanything..."
"aa46c","1215CC","28","@c00プロ意識を持ちましょう！","@c00Have some professionalism!"
"aa48c","1215D0","44","@c00こんなゲームで@nお金を取るつもりですか！","@c00You really plan to charge money@nfor a game like this?"
"aa4bc","1215D4","38","@c00大丈夫です！@n誰もマネしませんよ！","@c00It's fine!@nNo one's gonna rip you off!"
"aa4e4","1215D8","48","@c00芸能人気取りのクリエイターって@n多いですね。","@c00A lot of devs seems to think@nthey're celebrities, huh?"
"aa518","1215E0","28","@c00ホントに仕事なんですか？","@c00Can you really call what you do@n""work?"""
"aa538","1215E4","34","@c00机の上のフィギュアは何ですか？","@c00What's that figure on your desk?"
"aa55c","1215E8","34","@c00冷蔵庫の中は全て栄養剤ですか？","@c00Your medicine cabinet must@nbe full of laxatives and@npainkillers!"
"aa580","1215EC","30","@c00社会人の自覚がありますか？","@c00Don't you have any sense of@nprofessionalism?"
"aa5a0","1215F0","34","@c00作り直した方が早いんじゃない？","@c00Wouldn't it be faster to just@nstart over?"
"aa5c4","1215F4","34","@c00そういえば、皆さん臭いますね。","@c00By the way, you all stink."
"aa5e8","1215F8","32","@c00なぜ、発売日は延期になるの？","@c00Why's the game delayed?"
"aa60c","1215FC","26","@c00７０億って本当ですか？","@c00Is that 7 billion yen rumor@ntrue?"
"aa628","121600","50","@c00仕事をする格好じゃない人が@nたくさんいますね。","@c00A lot of you aren't in@nworkplace-appropriate clothing!"
"aa65c","121604","46","@c00新聞とかニュースとかちゃんと@n見てますか？","@c00Do you even pay attention to the@nnews or read the paper?"
"aa68c","121608","42","@c00つまらない話を@n難しくしていませんか？","@c00Aren't you making a boring topic@noverly complicated?"
"aa6b8","12160C","32","@c00アニメ好きな人が多いですね。","@c00There's a lot of anime fans here."
"aa6dc","121610","52","@c00何故、ゲームを作るのに@nあんなにお金がかかるの？","@c00Why does it cost so much@nto make a game?"
"aa714","121614","48","@c00このゲーム作るのに@nいくらかかったんですか？","@c00It cost how much to make@nthis game?"
"aa748","121618","42","@c00ゲーム嫌いな開発者って@n多いんですか？","@c00Are there many game developers@nwho actually hate games?"
"aa774","12161C","26","@c00隠し事をしてませんか？","@c00Are you hiding something?"
"aa790","121620","26","@c00甘い汁とか吸ってます？","@c00You let everyone else work while@nyou get paid?"
"aa7ac","121624","44","@c00業界人は火遊びが激しいとか@n聞きました。","@c00I heard its quite common for@ngame developers to have affairs."
"aa7dc","121628","24","@c00噂は本当なんですか？","@c00Are the rumors true?"
"aa7f8","12162C","28","@c00何か副業をもってますね？","@c00Do you have a side job?"
"aa818","121630","34","@c00他人のせいにして楽しいですか？","@c00Do you enjoy blaming others?"
"aa83c","121634","28","@c00お風呂に入りましょうよ。","@c00Take a bath already."
"aa85c","121638","22","@c00頭、悪そうですね。","@c00You don't seem very smart."
"aa874","12163C","22","@c00仕事しましょうよ。","@c00Get to work."
"aa88c","121640","24","@c00もう、心は無いのか？","@c00Jeez, have you no heart?"
"aa8a8","121644","38","@c00調子のいいことばかり@n言いますね。","@c00You sure say a lot of convenient@nthings."
"aa8d0","121648","34","@c00人のことをみくびってませんか？","@c00Aren't you underestimating@npeople?"
"aa8f4","12164C","28","@c00「萌え」ってなんですか？","@c00What does ""moe"" mean?"
"aa914","121650","22","@c00雑誌、見ましたよ。","@c00I saw the magazine."
"aa92c","121658","42","@c00ゲーム制作って@n目的を見失いがちです！","@c00The point of making games is@noften overlooked!"
"aa958","12165C","32","@c00心に響くゲームがありますか！","@c00Is there a game that resonates@nwith you?"
"aa97c","121660","34","@c00ゲームで泣いたことありますか！","@c00Have you ever cried over a game?"
"aa9a0","121664","32","@c00ごっこ遊びはロマンなんです！","@c00It takes courage to play@npretend!"
"aa9c4","121668","34","@c00ゲーム作りは理屈じゃないんだ！","@c00Game development isn't about@nlogic!"
"aa9e8","12166C","32","@c00愛してくれる人がいますか！？","@c00Don't you have someone who loves@nyou!?"
"aaa0c","121670","32","@c00場の空気を読めない人が多い！","@c00There are so many people@nwho can't read the room!"
"aaa30","121674","32","@c00人の目を見て話をしましょう！","@c00Look people in the eye when you@ntalk!"
"aaa54","121678","66","@c00スケジュールを立てておきながら@n進まない仕事って他にないです。","@c00No other job sets schedules but@nfails to meet them like this."
"aaa98","12167C","24","@c00出会いが無いですね。","@c00Still haven't found someone,@nhuh?"
"aaab4","121680","46","@c00お金だけがあったって@n良いものは作れない！","@c00Money alone can't create@nsomething great!"
"aaae4","121684","24","@c00才能は問題じゃない！","@c00Talent isn't the problem!"
